,Symbols,Names,Prices,Market Time,Change,% Change,Volume,Market Cap,date/time
0,FDX,FedEx Corporation,204.87,4:00PM EDT,-0.14,-0.07%,1.347M,53.247B,16/09/2022 12:46:44
1,ADBE,Adobe Inc.,309.13,4:00PM EDT,-62.39,-16.79%,27.84M,144.673B,16/09/2022 12:46:44
2,UPS,"United Parcel Service, Inc.",185.00,4:03PM EDT,-5.96,-3.12%,3.612M,160.704B,16/09/2022 12:46:44
3,NFLX,"Netflix, Inc.",235.38,4:00PM EDT,+11.26,+5.02%,19.454M,104.675B,16/09/2022 12:46:44
4,STOR,STORE Capital Corporation,32.12,4:00PM EDT,+5.33,+19.90%,57.228M,9.08B,16/09/2022 12:46:44
5,ES=F,S&P Futures,"3,871.75",3:06AM EDT,-30.25,-0.78%,"9,357",N/A,16/09/2022 12:46:44
6,TXN,Texas Instruments Incorporated,162.67,4:00PM EDT,-2.59,-1.57%,6.097M,148.633B,16/09/2022 12:46:44
7,GETY,"Getty Images Holdings, Inc.",13.35,4:01PM EDT,+2.73,+25.71%,1.801M,4.575B,16/09/2022 12:46:44
8,BEAT,"HeartBeam, Inc.",2.3200,4:00PM EDT,+1.0700,+85.60%,113.763M,18.55M,16/09/2022 12:46:44
9,NQ=F,Nasdaq Futures,"11,819.25",3:06AM EDT,-115.50,-0.97%,"3,616",N/A,16/09/2022 12:46:44
10,MSFT,Microsoft Corporation,245.38,4:00PM EDT,-6.84,-2.71%,31.531M,1.881T,16/09/2022 12:46:44
11,SQQQ,ProShares UltraPro Short QQQ,48.14,4:00PM EDT,+2.30,+5.02%,166.259M,N/A,16/09/2022 12:46:44
12,QQQ,Invesco QQQ Trust,291.10,4:00PM EDT,-4.93,-1.67%,65.299M,114.431B,16/09/2022 12:46:44
13,GPS,"The Gap, Inc.",9.00,4:03PM EDT,-0.34,-3.64%,11.271M,3.273B,16/09/2022 12:46:44
14,GOOGL,Alphabet Inc.,102.91,4:00PM EDT,-2.09,-1.99%,34.188M,1.375T,16/09/2022 12:46:44
15,RKLB,"Rocket Lab USA, Inc.",5.10,4:00PM EDT,-0.61,-10.68%,11.841M,2.392B,16/09/2022 12:46:44
16,QS,QuantumScape Corporation,11.89,4:00PM EDT,+0.43,+3.75%,10.381M,5.145B,16/09/2022 12:46:44
17,TQQQ,ProShares UltraPro QQQ,25.09,4:00PM EDT,-1.33,-5.03%,196.865M,N/A,16/09/2022 12:46:44
18,ASTS,"AST SpaceMobile, Inc.",9.00,4:00PM EDT,-1.14,-11.24%,4.87M,1.652B,16/09/2022 12:46:44
19,GBPHKD=X,GBP/HKD,8.9620,8:13AM BST,-0.0370,-0.41%,0,N/A,16/09/2022 12:46:44
20,YM=F,Dow Futures,"30,782.00",3:03AM EDT,-192.00,-0.62%,"1,190",N/A,16/09/2022 12:46:44
21,GBPUSD=X,GBP/USD,1.1429,8:15AM BST,-0.0038,-0.33%,0,N/A,16/09/2022 12:46:44
22,^IXIC,NASDAQ Composite,"11,552.36",5:15PM EDT,-167.32,-1.43%,4.177B,N/A,16/09/2022 12:46:44
23,RBLX,Roblox Corporation,43.50,4:02PM EDT,-1.57,-3.48%,32.275M,25.959B,16/09/2022 12:46:44
24,SPY,SPDR S&P 500 ETF Trust,390.12,4:00PM EDT,-4.48,-1.14%,87.634M,358.045B,16/09/2022 12:46:44
25,UVXY,ProShares Ultra VIX Short-Term Futures ETF,10.41,4:00PM EDT,-0.05,-0.48%,71.742M,N/A,16/09/2022 12:46:44
26,PARA,Paramount Global,23.05,4:00PM EDT,+1.13,+5.16%,14.745M,15.098B,16/09/2022 12:46:44
27,EVGO,"EVgo, Inc.",10.14,4:00PM EDT,+0.85,+9.15%,6.864M,2.686B,16/09/2022 12:46:44
28,AAPL,Apple Inc.,152.37,4:00PM EDT,-2.94,-1.89%,90.481M,2.496T,16/09/2022 12:46:44
29,NVDA,NVIDIA Corporation,129.29,4:00PM EDT,-1.99,-1.52%,52.363M,322.191B,16/09/2022 12:46:44
